text,emotion,act,topic
could i have my bill please __eou__ certainly sir __eou__ i am afraid there is been a mistake __eou__ i am sorry sir what seems to be the trouble __eou__ i believe you have charged me twice for the same thing look the figure of dollar appears here then again here __eou__ i will just go and check it for you sir __eou__,0 0 0 0 0 0,3 4 1 2 3 4,1
may i sit here __eou__ by all means __eou__,0 4,3 4,1
is everything to your satisfaction __eou__ no the steak was recommended but it is not very fresh __eou__ oh sorry to hear that this is quite unusual as we have steak from the market every day __eou__ so what it is not fresh and i am not happy about it __eou__ i am sorry sir do you wish to try something else that would be on the house of course __eou__ no thank you __eou__,0 1 5 1 5 1,2 1 1 1 3 4,1
i am looking for a white purse as a gift could you show what you have in stock __eou__ you are in luck we just receive a shipment of several different styles of white purses __eou__ they must be popular again this season __eou__ yes i believe they are here are something that might interest you __eou__ wow this is nice i will take this one i guess if she does not like it she can return it right __eou__ sure let me ring this up for you at the register if you would like this can be giftwrapped for free just take it to the customer service department __eou__,0 4 4 4 4 0,2 1 1 3 2 1,1
dahuas market how can i help you __eou__ where is your store located __eou__ we are on nanjing road next to the theatre __eou__ right i will be right over __eou__,0 0 0 4,2 2 1 1,1
farmers pet store __eou__ can you please tell me where you are located __eou__ sure we are off singing road close to the bank __eou__ thank you i know where that is __eou__,0 0 0 4,1 2 1 1,1
may i help you find something sir __eou__ i am looking for an engagement ring for my girlfriend i have an idea of what she likes but i want to surprise her with something special too __eou__ we have all shapes sizes qualities and price ranges do you know about the four cs of picking a diamond __eou__ i think so are not the four cs cut clarity carat and color __eou__ you have got it tell me a little bit about what you might be wanted __eou__ well my price range is a dollars to dollars i am looking for a marquise cut on the wide band __eou__ you have good taste let my show you what i have __eou__,0 0 0 0 0 0 4,2 1 2 1 2 1 3,1
would you like a lift home __eou__ that would be great thanks __eou__,0 4,3 4,1
mikes mechanics can i help you __eou__ yes how do i get to your shop from chilin __eou__ go straight up zhongshan road and you will see our sign on your right after you pass the museum __eou__ thank you very much __eou__,0 0 0 4,2 2 1 1,1
i think i going to need some iced water too is there an extra charge for that __eou__ yes we charge cents for water __eou__ that is fine could you give me some more napkins too __eou__ sure do you need anything else __eou__ yes i would also like some sweet and sour sauce and pepper __eou__ i will put all that into the bag for you __eou__ do i owe you anything for the sauce pepper and napkins __eou__ no there is no charge for those __eou__,0 0 0 0 0 0 0 0,2 1 3 2 3 4 2 1,1
i am looking for some blush do you still have some in peach rose __eou__ oh yes that is a beautiful color it has been very popular blush this season i have two left __eou__ great i will take one __eou__ have you heard about our special promotion this month if you purchase at least dollar cents in any elizabeth arden products you will receive this black poke with a sample of lipstick mascara and two shades of white shadow __eou__ wow that sounds like a bargain i am running low on facial moisturizer and toner could you ring those up for me too along with the blush __eou__ i would be glad to do you need anything else __eou__ oh i almost forgot it is my mums birthday saturday i need to get her some more chanel could you get me the ounce bottle of chanel cologne __eou__ that would be my pleasure i will wrap the perfume up in the gift box for you too __eou__,0 0 4 0 4 0 0 4,2 1 1 2 1 2 3 4,1
golden taxi cabs how may i help you __eou__ can you send a cab to pick me up __eou__ sure where are you __eou__ i am on the corner of the fifth and mane __eou__,0 0 0 0,2 3 2 1,1
ok i am sorry it took so long __eou__ i understand __eou__ the phone has been ringing off the hook today __eou__ some days are just like that __eou__,0 0 0 0,1 1 1 1,1
hello i need to get a cab __eou__ there is about a minute wait __eou__ that is fine __eou__ ok give me your address __eou__,0 0 0 0,3 4 1 3,1
is tom available please __eou__ he is on the other line can you hold for a minute __eou__ sure __eou__ he will be right with you __eou__,0 0 0 0,2 3 4 1,1
hi bill it s jane __eou__ jane i m on the other line can you hang on for a second __eou__ sure __eou__ ok i ll be right back __eou__,0 0 0 0,1 3 4 1,1
is tom here __eou__ speaking __eou__,0 0,2 1,1
looks like dinners ready __eou__ just about __eou__,0 0,1 1,1
may i try on this dress __eou__ by all means of course __eou__,0 4,3 4,1
i made my little brother cry __eou__ shame on you __eou__,0 1,1 1,1
can i have the check please __eou__ right away sir __eou__ is this amount correct __eou__ yes sir it is __eou__ thank you the service was good __eou__ please come again __eou__,0 0 0 0 4 4,3 4 2 1 1 1,1
are you through with your meal __eou__ yes we are could we have the check please __eou__ here you go i can take care of it here when you are already __eou__ do you accept checks __eou__ no i am sorry we do not we accept credit cards and cash __eou__ well i do not have any cash with me i will have to put it on a credit __eou__ thank you i will be right back do you need any to go boxes i would be glad to bring you some when i come back __eou__ yes we do thank you __eou__,0 0 0 0 0 0 4 4,2 3 4 2 1 1 1 1,1
i am looking for some black pumps to go with my evening gown could you show me what you have __eou__ sure we have several different styles you may choose how high of a heel do you want __eou__ not to high maybe an inch or an inch in the half would be the best __eou__ in that case i might have just the pair for you look at these they were made in italy the leather is very soft so your toes will not get pinched you can tell just by looking at it that it was superbly made __eou__ those are beautiful do you have any in a size six __eou__ yes we do we also have this same style in dark blue and red __eou__ no thank you i am just looking for a black pair __eou__ let me go to the back and get them i will be right back __eou__,0 0 0 0 0 0 0 4,3 2 1 1 2 1 1 1,1
are you ok __eou__ i am fine i am just so touched by the sad story __eou__ so i can say now that you must have enjoyed the opera which scene is your favorite __eou__ i love them all but if i had to name one as the best i would say it is the ending __eou__ what is it about you know i could not help falling asleep __eou__ did you i did not notice that but still you should know it for you have seen it with laura before __eou__ i guess i have done the same thing last time i was here with her too i mean falling asleep for me this one is not that attractive __eou__ then i doubt if you like operas at all __eou__ yes i like carmen very much but i do not mind if you want to tell me about this one __eou__ ok then the man was old and he was visiting his wifes grave with a rose in his hand when he got there he saw someone already put a rose on her grave __eou__ very impressive and i do like the leading actress who has an amazing voice __eou__ me too there was always a good round of applause every time she sings __eou__ yes the applause that was what kept waking me up during the show __eou__ and it is been such a faultless performance with the perfect lighting and music just amazing __eou__ no doubt it is not a simple thing to put on a phantom show __eou__ exactly __eou__,0 5 0 0 0 6 0 0 0 0 4 4 4 4 4 4,2 1 2 1 2 1 1 1 3 4 1 1 1 1 1 1,1
did anyone call __eou__ just mr white __eou__ what did he want __eou__ he would not say over the phone __eou__,0 0 0 0,2 1 2 1,1
could i have the check please __eou__ okay i will just be a minute __eou__,0 0,3 4,1
any phone calls for me while i was out __eou__ yes your wife and your dentist called __eou__ thank you __eou__ you are welcome __eou__,0 0 4 4,2 1 1 1,1
hello may i help you __eou__ well i am looking for some winter clothes and i notice you have preseason sale on all your winter apparel __eou__ yes everything is off __eou__ do you have any skirt that will go with this sweater __eou__ sure we have both skirts and slacks that will go well with the sweater i especially like this flowery skirt it is very much in style this year __eou__ i do not think that shade of green will go with my complexion do you have any of those skirts in black or tan __eou__ look on the rack to your right __eou__ oh yes just show me where the fitting rooms are now i cannot wait to try this on __eou__,0 0 0 0 0 0 0 4,2 1 1 2 1 2 1 1,1
may i help you __eou__ give me sixpiece chicken nuggets a large fries and a large coke __eou__ you will need to wait a few minutes for fries they are still in the fryer __eou__ that is fine __eou__ your total comes to dollars __eou__ here is __eou__ thank you your cash back is dollars pull into a parking states and we will bring you your fries in two minutes __eou__ thanks __eou__,0 0 0 0 0 0 4 4,2 3 4 1 1 1 3 4,1
i am sorry is that bicycle yours __eou__ yes it is what about it __eou__ i backed into it while i was trying to get into the parking lot __eou__ i see __eou__ i am really sorry i will face the music __eou__ where did you hit it __eou__ right here see the scratch __eou__ oh yes i see it now __eou__,0 0 0 0 5 0 0 0,2 2 1 1 1 2 2 1,1
how are we going to get there __eou__ let us take a cab __eou__,0 0,2 1,1
hi sorry to have kept you waiting __eou__ that is all right __eou__ how are you __eou__ fine and you __eou__,0 0 0 0,1 1 2 2,1
andrews hair salon this is andrew __eou__ andrew this is linda chen __eou__ hi linda what can i do for you __eou__ i need to set up an appointment to get my hair fixed __eou__ for what day __eou__ tuesday morning __eou__,0 0 0 0 0 0,1 1 2 1 2 1,1
i am getting a tattoo tomorrow __eou__ are you nuts __eou__,0 6,1 2,1
my mother bought me a new video game __eou__ what is it like __eou__ well the hero is a super warrior he has to fight the bad guys to find the treasure __eou__ who are the bad guys __eou__ there are a lot two really bad ones are giant monster and human spider __eou__ wow where is the treasure __eou__ it is in a dungeon under a castle __eou__ how do you find it __eou__ it is not easy to find anyway you can come to my home after school today and try __eou__ great __eou__,0 0 0 0 0 0 0 0 0 4,1 2 1 2 1 2 1 2 3 4,1
i played the video game at mikes home yesterday __eou__ what is it like __eou__ it is really fantastic the hero super warrior is so brave that he can defeat any enemies he meets he runs through tunnels swims under water and climbs over bridges it is really exciting __eou__ and then __eou__ i borrowed it from mike yesterday why not have a try __eou__ that is neat __eou__,0 0 4 0 0 4,1 2 1 2 3 4,1
mrs sue __eou__ yes __eou__ mr brown will have to call you back in a little while __eou__ all right but tell him i will only be here until four of the clock __eou__,0 0 0 0,2 2 1 3,1
i lost my wallet __eou__ i am sorry that is bad luck __eou__,0 5,1 1,1
mr zhang are you still there __eou__ yes __eou__ can she call you back she is about to start a meeting __eou__ that will be fine __eou__,0 0 0 0,2 1 3 4,1
i am going to the pub tonight __eou__ do not get drunk __eou__,0 0,1 3,1
i am sorry i am late __eou__ better late than never __eou__,5 0,1 1,1
hi this is john li is my car fixed yet __eou__ let me run and check __eou__,0 0,2 1,1
hi this is tome smith __eou__ yes mr smith __eou__ is my vcr ready __eou__ no it will be another hour __eou__,0 0 0 0,1 2 2 1,1
this skirt is too tight i would like to return it please do i need to go to the customers service desk __eou__ i can help you with that do you still have your receipt __eou__ no i receive this as a birthday present but the price tag is still on the skirt though will that be ok __eou__ oh yes that will help me a lot __eou__ do you have any more skirts in this style i would like to find a size larger __eou__ i am sorry i think we are out of this skirt in this color do you want me to call another one of our store to see if it is available there __eou__ no that is all right i will just look for something else __eou__ well your refund total is dollars __eou__,0 0 0 0 0 5 0 0,2 2 2 1 2 2 1 1,1
nani book store how can i help you __eou__ do you have the the man and the sea by ernest hemingway __eou__ yes we have one copy left __eou__ can you hold it for me __eou__,0 0 0 0,2 2 1 3,1
would you ring these up for me here __eou__ i would be happy to did you find everything you needed __eou__ yes i did thanks __eou__ the total is dollars would you like to put that on sears card __eou__ no i will pay for it in cash __eou__,0 0 4 0 0,3 2 1 2 1,1
benters books __eou__ yes i need to order a large number of websters dictionaries __eou__ we have several hundred in stock __eou__ is there a discount for buying in large quantity __eou__,0 0 0 0,1 1 1 2,1
i am a little rushed is there any quicker way to get there __eou__ yeah of course you can take a taxi __eou__ how much will that run me __eou__ it depends on traffic and distance but it is reasonable __eou__ do the drivers speak english __eou__ some are better than others but you should not have a problem __eou__ are they safe __eou__ for the most part yes if you do not feel comfortable with it then it is best not to take one at night __eou__,0 0 0 0 0 0 0 0,2 1 2 1 2 1 2 1,1
excuse mecould you please tell me where the train station is __eou__ it is two blocks down the road __eou__,0 0,3 4,1
dianas flowers diana lins office may i help you __eou__ is diana in __eou__ no she is out for lunch may i take a message __eou__ yes please ask her to call john smith __eou__ ok i will make sure she gets the message __eou__,0 0 0 0 0,2 2 2 3 4,1
what is for lunch __eou__ pork chops __eou__,0 0,2 1,1
could you have a taxi pick me up and take me to the airport before p m __eou__ what is your address sir __eou__ i live at park street __eou__ ok someone will be there by __eou__ what are your rates __eou__ it is dollars initially and cents for each quarter mile __eou__ i have four very large suitcases will those fit in the taxi __eou__ no i will send a larger vehicle to pick you up __eou__,0 0 0 0 0 0 0 0,3 2 1 1 2 1 2 1,1
do you think you can fix my computer __eou__ i will give it a try __eou__,0 0,2 1,1
ah oh are you hurt __eou__ i do not think so i am just shaken up a little __eou__ maybe i would better call an ambulance __eou__ no do not bother i think i am ok __eou__ are you sure __eou__ yes it is ok __eou__,0 0 0 0 0 0,2 1 3 4 2 1,1
taxi __eou__ where would you like to go __eou__ please rush me to the railway station __eou__ get in and close the door __eou__ can you speed up a bit __eou__ sorry the road is too crowded __eou__ but i have no time to lose __eou__ but i cannot help it __eou__ can you drop me off here __eou__ sorry we must not stop here __eou__,0 0 0 0 0 5 0 0 0 5,3 2 3 4 3 4 1 1 3 4,1
hello is sue there __eou__ who __eou__ sue john __eou__ you must have the wrong number __eou__ oh i am sorry __eou__,0 0 0 0 5,2 2 1 1 1,1
i passed all the tests mom __eou__ well done __eou__,4 4,1 1,1
may i please speak to robert __eou__ there is no one here by that name __eou__ is this __eou__ no this is __eou__ oh i am sorry __eou__ that is all right __eou__,0 0 0 0 5 0,3 4 2 1 1 1,1
is tom in __eou__ wrong number __eou__ is not this lis residence __eou__ no it is not __eou__ oh i am sorry __eou__,0 0 0 0 5,2 1 2 1 1,1
let us eat out __eou__ good idea __eou__,0 4,3 4,1
may we see the wine list please __eou__ sure our special wine today is a chardonnay __eou__ that sounds pretty good how much is it __eou__ it is cents by the glass the whole bottle is __eou__ i would like a bottle please __eou__ i will need to see your id please __eou__ here you go __eou__ sorry about the inconvenience you look so young i had make sure you are over years old __eou__,0 0 4 0 0 0 0 0,3 4 2 1 3 3 4 1,1
help help __eou__ what is the matter __eou__,0 0,1 2,1
hello is john in __eou__ no can i take a message __eou__ no i will call back later __eou__ all right __eou__,0 0 0 0,2 3 4 1,1
that is two for me and one for you __eou__ that is not fair __eou__,0 1,1 1,1
may i please speak to tom __eou__ tom has gone to lunch __eou__ i will just try him again __eou__ do you want me to have him give you a call __eou__ no but what time do you expect him back __eou__ he should be back in about forty minutes __eou__,0 0 0 0 0 0,3 4 1 3 2 1,1
hello is john in __eou__ no he is not may i take a message __eou__ yes would you leave him a message to call me __eou__ yes what is your name __eou__,0 0 0 0,2 3 4 2,1
i cannot finish this steak __eou__ that is all right __eou__,0 0,1 1,1
dad how can we get to the zoo __eou__ we can take a bus there __eou__ does this bus go there __eou__ i think so __eou__ let us step in dad __eou__ no it is too crowded __eou__ dad here comes another bus __eou__ fine let us get on oh no judy get off the bus quickly __eou__ why dad __eou__ we got on the wrong bus __eou__,0 0 0 0 0 0 0 0 0 0,2 1 2 1 3 4 1 3 2 1,1
i am trying to reach robert please __eou__ robert is not available at the moment __eou__ what time should i call back __eou__ around __eou__,0 0 0 0,3 4 2 1,1
i cannot find my keys __eou__ where did you see then last __eou__,0 0,1 2,1
can you connect me to mary smith hotel room __eou__ mrs smith has not checked in yet __eou__ can you leave a message for her to call her office __eou__ yes i will see that she get the message when she checks in __eou__,0 0 0 0,3 4 3 4,1
may i please speak to tom __eou__ he is with someone right now would you hold __eou__,0 0,2 3,1
what is the best way downtown __eou__ let me see it depends __eou__ depends depends on what __eou__ if you are in a hurry you should take a taxi __eou__ is that expensive __eou__ yes very believe it or not it will cost you more than one hundred dollars __eou__ i am in no particular hurry __eou__ take a bus then it will only cost you dollars __eou__ that is not so bad __eou__,0 0 0 0 0 0 0 0 0,2 1 2 1 2 1 1 3 4,1
this is how you turn on the computer __eou__ i see __eou__,0 0,1 1,1
may i speak to marry lin please __eou__ i am sorry marry is out right now __eou__ when will she be back __eou__ why do not you call back later this afternoon __eou__,0 0 0 0,3 4 2 3,1
let us go __eou__ where to __eou__,0 0,3 2,1
i would like to talk to mr white please __eou__ he stepped out of the office for a little while __eou__ when is a good time to catch him __eou__ in about twenty minutes __eou__,0 0 0 0,3 4 2 1,1
you stepped on my foot __eou__ sorry i did not mean to __eou__,0 5,1 1,1
somebody please answer the phone __eou__ i have got it __eou__,0 0,3 4,1
is tom in __eou__ no he is at work now __eou__ may i have his office phone number please __eou__ sure it is __eou__,0 0 0 0,2 1 3 4,1
do you mind if i smoke __eou__ go right ahead __eou__,0 0,2 1,1
where are you going __eou__ to the office i will be right back __eou__,0 0,2 1,1
jessie i m afraid i can t come back home for dinner tonight __eou__ not back home for dinner again that s the third time this week __eou__ i m sorry our company has just opened there are always too many things to handle you know that __eou__ you don t have to explain suit yourself __eou__ i apologize you have my word i ll spend some time with you on the weekend i promise __eou__ we ll see __eou__ thank you for understanding i promise i ll make it up to you __eou__,0 1 5 0 0 0 4,1 1 1 1 1 1 1,1
i hate doing the damn laundry __eou__ watch your language __eou__,1 0,1 3,1
sam you ve got to forgive me __eou__ forgive you for what __eou__ i used your computer and i m afraid i ve erased your personal files accidentally __eou__ no are you kidding me __eou__ i m afraid not i apologize __eou__ i can t believe it i have all my important personal documents stored in that computer it s no laughing matter __eou__ i told you i m sorry what can i do to make it up to you __eou__ well you should be sorry don t ever use my computer again you can t do anything now it s too late __eou__,0 0 0 6 5 1 5 1,3 2 1 2 1 1 2 1,1
it looks to be a nice day today __eou__ good let us go for a drive __eou__ okay i will get the car out of the garage __eou__ great __eou__,0 4 0 4,1 3 4 1,1
jim could you do me a favor __eou__ sure just ask what can i do for you __eou__ my car has a problem starting could you please take a look at it for me __eou__ no sweat it s a piece of cake __eou__ are you sure __eou__ absolutely i m a great mechanic __eou__ thanks for helping me out i really appreciate it __eou__ anytime __eou__,0 0 0 0 0 0 4 4,3 2 3 4 2 1 1 1,1
could you babysit for me tonight __eou__ i would be glad to __eou__,0 4,3 4,1
how did you get the piano here __eou__ it was hard work __eou__ you never did it on your own __eou__ it took three of us to move it __eou__,0 0 0 0,2 1 1 1,1
it sounds like bobs getting out of bed __eou__ what time did he come in last night __eou__ it was after am __eou__ who was he out with __eou__,0 0 0 0,1 2 1 2,1
are you ready to leave __eou__ give me a sec __eou__,0 0,2 1,1
do not do that you are asking for trouble __eou__ i do not care __eou__,0 0,3 4,1
shall we buy __eou__ it really depends on you __eou__ but if you were me __eou__ if i were you i would buy __eou__,0 0 0 0,3 4 2 1,1
it is time to go to bed __eou__ but mum we are watching this movie __eou__ i do not care it is school in the morning __eou__ just more minutes __eou__,0 5 0 0,3 4 1 3,1
what are you eating __eou__ rice __eou__ why __eou__ because it is supposed to be good for you __eou__,0 0 0 0,2 1 2 1,1
it is your turn to go first __eou__ i went first last time __eou__ no mary went first last time __eou__ oh okay __eou__,0 0 0 0,3 4 1 1,1
shall we go out tonight __eou__ yeah let us go joes disco __eou__ we would better ask dad first __eou__ okay but you ask him __eou__,0 0 0 0,3 4 3 4,1
i will cook dinner for you __eou__ do not go to too much trouble __eou__,0 0,1 3,1
have you got any better __eou__ that is the best there is __eou__ okay i will take one __eou__ that will be sir __eou__,0 0 0 0,2 1 1 1,1
let me help you with that __eou__ thanks very much __eou__ you really should not be lifting this by yourself __eou__ i know but there was nobody else __eou__,0 4 0 0,3 4 3 4,1
let us eat out __eou__ why not __eou__,0 0,3 4,1
why are not you going out __eou__ it is raining cats and dogs __eou__,0 0,2 1,1
what are you doing tomorrow __eou__ i am going to work __eou__ what time will you be home __eou__ around of the clock __eou__,0 0 0 0,2 1 2 1,1
what did you do today __eou__ played poker with my work friends __eou__ did you win __eou__ of course __eou__,0 0 0 0,2 1 2 1,1
hang out the clothes __eou__ but it is raining __eou__,0 0,3 4,1
do you play mahjong __eou__ once in a while __eou__,0 0,2 1,1
you stink __eou__ i will go take a shower __eou__,2 0,3 4,1
i cooked so __eou__ okay i will do the dishes __eou__,0 0,3 4,1
hello mr brown __eou__ hello can you help me __eou__ yes i am here to fix your pipes __eou__ oh good come in please __eou__,0 0 0 4,1 3 4 3,1
here comes the bus __eou__ it is about time __eou__,0 0,1 1,1
can i have this shoe in the black please __eou__ of course sir i will have a look in the back __eou__ okay __eou__ i am afraid i have not got one in your size __eou__,0 0 0 0,3 4 1 1,1
get up you lazybones __eou__ just a minute __eou__,0 0,3 4,1
shall we start decorating the bedroom __eou__ i have already started __eou__ when __eou__ this afternoon __eou__,0 0 0 0,3 4 2 1,1
how much is this __eou__ you mean the large one or the small one __eou__ the large one __eou__ they are on special this week they have been reduced to five dollars __eou__ is this the only kind you have __eou__ no we have some that are different in style but not in color they are over there do you see the sign __eou__ oh yes i think i will look at those over there before i decide __eou__ very well just take your time __eou__,0 0 0 0 0 0 0 0,2 2 1 1 2 2 1 3,1
why did you stay home today __eou__ i am off today __eou__,0 0,2 1,1
my batterys flat in my mobile __eou__ is that why you did not return my call __eou__ and i could not find another phone __eou__ that is okay __eou__,0 0 0 0,1 2 1 1,1
is there a doctor here __eou__ no __eou__ can you call an ambulance __eou__ sure what is happened __eou__,0 0 0 0,2 1 3 2,1
i am a student in cambridge university i read your ad i want to know something more about your room please __eou__ it is a big bedroom with a drawing room facing a beautiful wood __eou__ is there a bathroom __eou__ no but there is one downstairs which my daughter used some years ago __eou__ it sounds good could i go and see it myself __eou__ certainly you are welcome anytime __eou__ see you later __eou__ after a while good afternoon mrs smith i called you just now __eou__ welcome come in please __eou__ yes __eou__ this way please your room is upstairs here it is __eou__ wonderful a modest comfortable room ah a beautiful window through which i can see a beautiful scene and hear the birds singing how nice __eou__ yes if you want to wash something there is a separate lavatory room outside __eou__ excellent i like it when can i move in __eou__ anytime you like __eou__ ok __eou__,0 0 0 0 4 0 0 0 4 0 0 4 0 4 0 4,3 4 2 1 3 4 1 1 3 4 3 4 1 2 1 1,1
i wonder if you could help me __eou__ of course what is the problem __eou__ could you take a picture of me to my friend __eou__ sure thing __eou__,0 0 0 0,3 2 3 4,1
you just ran a red light __eou__ did i __eou__,0 0,1 2,1
first you add the washing powder then you add the clothes __eou__ i take it you have done this before __eou__ yes for the last years __eou__ good __eou__,0 0 0 4,1 2 1 1,1
good afternoon sir would you like a tea __eou__ i would rather have a cup of coffee __eou__ of course sir would you like milk and sugar with that __eou__ yes please milk and two sugar __eou__,0 0 0 0,3 4 3 4,1
he is going too slow __eou__ pass him __eou__,0 0,1 3,1
i stayed at bobs last night __eou__ i was worried where you were __eou__ i guess i should have told you __eou__ yes you should have __eou__,0 0 0 1,1 1 1 1,1
are you going to come home late tonight __eou__ yes i have got to work overtime __eou__,0 0,2 1,1
ah bob just the person i wanted to see __eou__ so what is it __eou__ you got to help me out this time buddy __eou__ another tough thing i guess __eou__,0 0 0 0,1 2 3 4,1
hi bob what time will you be home tonight __eou__ i will be back late tonight __eou__ why what is the problem __eou__ i have a meeting with my general manager __eou__,0 0 0 0,2 1 2 1,1
anna would you like to dance __eou__ i d love to but i m a terrible dancer i m afraid i may step on your toes __eou__ don t worry about it i ll show you how it s a piece of cake __eou__ thank you i ll try my best __eou__,0 0 0 4,3 4 1 1,1
jodi i must get a hold of jim today but i forgot his address and phone number __eou__ don t worry about it i have his pager number right here __eou__ really you ve helped me a lot thank you __eou__ forget it it s nothing __eou__,0 0 4 0,1 1 1 1,1
how is the chicken __eou__ it is delicious __eou__,0 4,2 1,1
would you pour me some of that tea please __eou__ okay say when __eou__,0 0,3 4,1
would you care for a drink __eou__ no thanks i am fine __eou__,0 0,3 4,1
hello could i speak to allison please __eou__ i am sorry he is out at the moment __eou__ when do you expect him back __eou__ i think he will be back in about an hour at least __eou__ well may i leave a message __eou__ yes of course __eou__ would you please ask him to call chris when he gets back __eou__ ok does he know your number __eou__ i am afraid he does not my mobile is __eou__ all right thanks for calling oh hang on someone is at the door that may be him please hold on __eou__,0 0 0 0 0 0 0 0 0 4,3 4 2 1 3 4 3 2 1 1,1
welcome back __eou__ it is good to be home __eou__,0 4,1 1,1
how can i get to lakeside park __eou__ take the no bus there is a bus stop just over there __eou__ will it take me straight there __eou__ yes no need to change __eou__,0 0 0 0,2 1 2 1,1
i come home for lunch __eou__ how long have you got __eou__ only hour __eou__ okay i will make you some food __eou__,0 0 0 0,1 2 1 1,1
may i speak to marry __eou__ marry is not in right now she went shopping with her mum __eou__ will it be too late if i call around ten this evening __eou__ that is all right we do not go to bed early __eou__,0 0 0 0,3 4 2 1,1
hello excuse me do you know if there is a commercial bank around here __eou__ yes go straight along beijing road and turn right __eou__ straight on and turn right is it far __eou__ no it is just a couple of minutes __eou__ thanks very much __eou__ you are welcome __eou__,0 0 0 0 4 4,2 1 2 1 1 1,1
we are broke __eou__ i cannot believe it __eou__,0 6,1 1,1
where do you want to go __eou__ i am going to the hospital __eou__ get in i will take you __eou__ about how much will it cost __eou__ it will cost you __eou__ by the way what is the time __eou__ you can see the time on the meter i have radio time you know __eou__ it is a quarter to could you please drive a little faster __eou__ certainly __eou__,0 0 0 0 0 0 0 0 0,2 1 3 2 1 2 1 3 4,1
i broke moms vase __eou__ she is going to kill you __eou__,0 0,1 1,1
who broke my chair __eou__ it was not me __eou__,0 0,2 1,1
man that car almost hit me __eou__ yeah that was close __eou__,1 0,1 1,1
where can i get a good novel __eou__ there is a bookstore just across the street __eou__,0 0,2 1,1
the washing machine is not working again __eou__ it is not my fault __eou__,1 0,1 1,1
i will treat you dinner __eou__ do not be silly let us go dutch __eou__,0 0,3 4,1
where did this come from __eou__ i have no idea __eou__,0 0,2 1,1
would you please put that cigarette out i get sick on it __eou__ you do ok fine with me __eou__ thank you so much __eou__ but i also want ya to do me a favor __eou__ what __eou__ you got to have some better deodorant __eou__ i m sorry __eou__,0 0 0 0 0 0 6,3 4 1 3 2 3 4,1
